# time,pos_x,pos_y,vel_x,vel_y,mre_x,mre_y,gol_x,gol_y,atr_x,atr_y,fin_x,fin_y,tile
1.460000,0.090045,-0.091379,0.350115,-0.306576,-0.000000,-0.000000,1.828428,-1.822615,0.000000,0.000000,0.045400,-0.116263,11.464657
1.480000,0.097399,-0.097902,0.385370,-0.345666,0.000000,-0.000000,1.866642,-1.864227,0.000000,0.000000,-0.005313,-0.032929,11.529158
1.500000,0.105491,-0.105174,0.424250,-0.380811,0.000000,-0.000000,1.910344,-1.911966,0.000000,0.000000,0.079451,0.158242,11.587002
1.520000,0.114380,-0.113163,0.464367,-0.418420,-0.000000,-0.000000,1.958942,-1.964783,0.000000,0.000000,-0.066955,0.122059,11.561491
1.540000,0.124036,-0.121893,0.501367,-0.454800,0.000000,0.000000,2.013503,-2.024868,0.000000,0.000000,-0.105495,0.111600,11.618670
1.560000,0.134446,-0.131394,0.539163,-0.495243,-0.000000,0.000000,2.074221,-2.091217,0.000000,0.000000,-0.260727,0.192338,11.704795
1.580000,0.145599,-0.141688,0.577460,-0.535229,0.000000,0.000000,2.141605,-2.164786,0.000000,0.000000,0.009514,-0.009088,11.625451
1.600000,0.157585,-0.152809,0.620246,-0.574540,-0.000000,0.000000,2.216794,-2.247529,0.000000,0.000000,-0.336735,0.690728,11.868784
1.620000,0.170352,-0.164635,0.658017,-0.610362,0.000000,0.000000,2.298740,-2.338130,0.000000,0.000000,-0.111558,0.243318,11.703206
1.640000,0.183958,-0.177274,0.701461,-0.653353,0.000000,0.000000,2.389841,-2.439952,0.000000,0.000000,-0.516590,0.427747,11.908837
1.660000,0.198343,-0.190720,0.738113,-0.691468,0.000000,0.000000,2.489140,-2.551729,0.000000,0.000000,-0.393086,0.497026,11.860481
1.680000,0.213540,-0.204987,0.781163,-0.735527,0.000000,-0.000000,2.599448,-2.676191,0.000000,0.000000,-0.580725,0.540654,11.959878
1.700000,0.229566,-0.220101,0.820756,-0.773711,0.000000,0.000000,2.719008,-2.814129,0.000000,0.000000,-0.870273,1.213349,12.036654
1.720000,0.246370,-0.235954,0.860926,-0.814273,-0.000000,-0.000000,2.850764,-2.967115,0.000000,0.000000,-0.659229,0.661600,12.050825
1.740000,0.264010,-0.252685,0.901536,-0.857824,0.000000,0.000000,2.993578,-3.137085,0.000000,0.000000,-1.152148,1.111781,12.158880
1.760000,0.282422,-0.270250,0.941112,-0.900140,0.000000,-0.000000,3.150590,-3.326454,0.000000,0.000000,-1.034685,0.943428,12.192951
1.780000,0.301649,-0.288733,0.981312,-0.947303,-0.000000,-0.000000,3.320656,-3.537642,0.000000,0.000000,-1.299791,1.386328,12.272684
1.800000,0.321652,-0.308087,1.017913,-0.988996,-0.000000,0.000000,3.507033,-3.773143,0.000000,0.000000,-1.753819,1.443506,12.368714
1.820000,0.342377,-0.328343,1.056273,-1.036539,-0.000000,-0.000000,3.705770,-4.038286,0.000000,0.000000,-1.601207,1.743640,12.420855
1.840000,0.363882,-0.349541,1.091911,-1.083853,-0.000000,0.000000,3.922807,-4.335892,0.000000,0.000000,-2.394385,1.925729,12.556826
1.860000,0.384879,-0.369515,1.001355,-0.896912,0.000000,-0.000000,4.111711,-4.664141,-7.468956,13.571282,-1.277843,1.095485,12.206511
1.880000,0.404016,-0.385535,0.914849,-0.709263,0.000000,-0.000000,4.210439,-5.023499,-7.253446,13.318987,-0.827448,0.487766,12.018091
1.900000,0.421589,-0.398014,0.844024,-0.541408,-0.000000,-0.000000,4.171447,-5.430847,-7.113519,13.187521,-0.416280,0.198260,11.812073
1.920000,0.437789,-0.407301,0.775550,-0.389136,-0.000000,0.000000,3.954073,-5.898053,-7.037100,13.157854,-0.323086,0.098781,11.726143
1.940000,0.452630,-0.413652,0.708509,-0.248145,-0.000000,0.000000,3.509884,-6.401784,-7.015083,13.220400,0.036978,-0.047957,11.574362
1.960000,0.466051,-0.417272,0.630916,-0.114518,-0.000000,0.000000,2.821105,-6.886700,-7.039148,13.370471,0.028407,0.015605,11.529796
1.980000,0.477792,-0.418282,0.540119,0.013271,0.000000,0.000000,1.969148,-7.254508,-7.104911,13.613837,0.061796,0.028312,11.487377
2.000000,0.487518,-0.416731,0.429968,0.142492,-0.000000,0.000000,1.108300,-7.441628,-7.207912,13.961772,0.215598,0.076110,11.377688
2.020000,0.494879,-0.412531,0.302800,0.278838,-0.000000,0.000000,0.434772,-7.459762,-7.344625,14.427698,0.045300,0.045833,11.458680
2.040000,0.499517,-0.405490,0.159513,0.428217,0.000000,0.000000,0.035076,-7.359957,-7.516508,15.041306,0.119638,0.186519,11.392580
2.060000,0.501199,-0.395305,0.007435,0.593180,-0.000000,0.000000,-0.084885,-7.206890,-7.726981,15.833791,0.077122,0.088854,11.504990
2.080000,0.499782,-0.381624,-0.149861,0.778294,-0.000000,0.000000,0.010880,-7.000442,-7.978438,16.848233,0.033375,-0.122783,11.641685
2.100000,0.495193,-0.364031,-0.308411,0.984868,-0.000000,0.000000,0.239089,-6.738171,-8.276365,18.140821,0.246973,-0.566345,11.855388
2.120000,0.487461,-0.342082,-0.464342,1.214689,0.000000,0.000000,0.508860,-6.410145,-8.625955,19.786409,0.516149,-1.222618,12.159057
2.140000,0.476696,-0.315324,-0.611104,1.463893,-0.000000,0.000000,0.758269,-6.012560,-9.023277,21.867664,1.031802,-2.834049,12.565249
2.160000,0.463685,-0.284866,-0.645171,1.478328,0.000000,0.000000,0.942379,-5.580098,0.000000,0.000000,1.309634,-3.046755,12.619084
2.180000,0.451185,-0.256910,-0.605474,1.323040,0.000000,0.000000,1.045787,-5.205698,0.000000,0.000000,0.916353,-1.806642,12.358290
2.200000,0.439450,-0.231816,-0.569430,1.189067,0.000000,0.000000,1.103436,-4.887254,0.000000,0.000000,0.486271,-1.241175,12.158579
2.220000,0.428389,-0.209200,-0.537032,1.073957,0.000000,0.000000,1.136344,-4.614286,0.000000,0.000000,0.340632,-0.990162,12.029692
2.240000,0.417935,-0.188769,-0.508265,0.971654,0.000000,0.000000,1.154786,-4.378496,0.000000,0.000000,0.297549,-0.538296,11.900446
2.260000,0.408040,-0.170291,-0.481881,0.878262,0.000000,-0.000000,1.164224,-4.173388,0.000000,0.000000,0.175597,-0.197908,11.796789
2.280000,0.398663,-0.153591,-0.456764,0.792473,0.000000,0.000000,1.168372,-3.993984,0.000000,0.000000,0.022341,-0.075176,11.712591
2.300000,0.389773,-0.138541,-0.432672,0.713294,-0.000000,-0.000000,1.169938,-3.836513,0.000000,0.000000,-0.040844,0.007031,11.633359
2.320000,0.381345,-0.125028,-0.409949,0.638805,0.000000,-0.000000,1.170347,-3.698205,0.000000,0.000000,0.001174,0.067853,11.572066
2.340000,0.373369,-0.112971,-0.387735,0.567672,0.000000,-0.000000,1.170288,-3.576729,0.000000,0.000000,-0.067256,0.118621,11.524880
2.360000,0.365829,-0.102297,-0.366473,0.500018,0.000000,0.000000,1.170630,-3.470039,0.000000,0.000000,-0.133609,0.112906,11.488557
2.380000,0.358709,-0.092955,-0.345297,0.434488,-0.000000,0.000000,1.172080,-3.376603,0.000000,0.000000,-0.110263,0.137464,11.443061
2.400000,0.352013,-0.084903,-0.324402,0.371183,0.000000,0.000000,1.174802,-3.295320,0.000000,0.000000,-0.175451,0.208052,11.394885
2.420000,0.345732,-0.078101,-0.303597,0.308904,0.000000,-0.000000,1.179192,-3.225073,0.000000,0.000000,-0.158203,0.151437,11.384823
2.440000,0.339863,-0.072533,-0.282900,0.247819,0.000000,-0.000000,1.185696,-3.165014,0.000000,0.000000,-0.096532,0.103897,11.393185
2.460000,0.334413,-0.068181,-0.262251,0.187585,-0.000000,0.000000,1.194404,-3.114547,0.000000,0.000000,-0.141785,0.107242,11.330522
2.480000,0.329382,-0.065034,-0.241043,0.127225,0.000000,0.000000,1.205507,-3.073217,0.000000,0.000000,-0.168529,0.083486,11.312895
2.500000,0.324773,-0.063088,-0.219686,0.067298,0.000000,-0.000000,1.219373,-3.040550,0.000000,0.000000,-0.118678,0.057086,11.356528
2.520000,0.320599,-0.062343,-0.197714,0.007131,0.000000,0.000000,1.236397,-3.016156,0.000000,0.000000,-0.141290,0.008490,11.296466
2.540000,0.316870,-0.062800,-0.175122,-0.052888,0.000000,0.000000,1.256707,-2.999972,0.000000,0.000000,-0.133743,-0.030458,11.279499
2.560000,0.313598,-0.064466,-0.151816,-0.113854,0.000000,-0.000000,1.280513,-2.991905,0.000000,0.000000,-0.081239,-0.099535,11.340805
2.580000,0.310801,-0.067364,-0.127691,-0.175803,0.000000,0.000000,1.308441,-2.991863,0.000000,0.000000,-0.071247,-0.103132,11.318358
2.600000,0.308497,-0.071495,-0.102377,-0.237430,0.000000,-0.000000,1.340753,-2.999963,0.000000,0.000000,-0.042587,-0.153438,11.329786
