[Name]
Series 1 at /POINT:Point 1

[Data]
Time [ s ],Velocity v [ m s^-1 ]	
0.0766	0.074028186
0.076700002	0.073002278
0.076800004	0.071412006
0.076899998	0.06967395
0.077	0.06834972
0.077100001	0.067744385
0.077200003	0.067768907
0.077299997	0.068170349
0.077399999	0.068819418
0.077500001	0.069671787
0.077600002	0.070600862
0.077699997	0.071389624
0.077799998	0.071877533
0.0779	0.072054423
0.078000002	0.071990147
0.078100003	0.071760294
0.078199998	0.071529031
0.078299999	0.071596612
0.078400001	0.072041511
0.078500003	0.072614999
0.078599997	0.072926437
0.078699999	0.072845125
0.0788	0.072556505
0.078900002	0.072311
0.079000004	0.07210434
0.079099998	0.071615802
0.0792	0.070648967
0.079300001	0.069462518
0.079400003	0.068602714
0.079499997	0.068400365
0.079599999	0.06862907
0.079700001	0.068881705
0.079800002	0.06911137
0.079899997	0.069642062
0.079999998	0.07056683
0.0801	0.071575214
0.080200002	0.072104818
0.080300003	0.071997895
0.080399998	0.071610079
0.080499999	0.071189902
0.080600001	0.070638222
0.080700003	0.069822599
0.080799997	0.068916429
0.080899999	0.06824257
0.081	0.067976469
0.081100002	0.068127029
0.081200004	0.068676114
0.081299998	0.06961735
0.0814	0.070797147
0.081500001	0.071753046
0.081600003	0.072099737
0.081699997	0.071878285
0.081799999	0.071486844
0.081900001	0.07111907
0.082000002	0.070579555
0.082099997	0.069712671
0.082199998	0.068830973
0.0823	0.068369024
0.082400002	0.06837339
0.082500003	0.068483386
0.082599998	0.068404741
0.082699999	0.068263117
0.082800001	0.068363565
0.082900003	0.068677854
0.082999997	0.068861081
0.083099999	0.06869713
0.0832	0.068375375
0.083300002	0.068281578
0.083400004	0.068510602
0.083499998	0.068787394
0.0836	0.068916538
0.083700001	0.068987025
0.083800003	0.069105561
0.083899997	0.069148694
0.083999999	0.06900326
0.084100001	0.068990658
0.084200002	0.06958742
0.084299997	0.070807896
0.084399998	0.072096846
0.0845	0.072872969
0.084600002	0.073058223
0.084700003	0.072905313
0.084799998	0.072418965
0.084899999	0.071305516
0.085000001	0.06945822
0.085100003	0.067365994
0.085199997	0.065732129
0.085299999	0.064896823
0.0854	0.064773142
0.085500002	0.065177466
0.085600004	0.066079338
0.085699998	0.067515526
0.0858	0.069287113
0.085900001	0.070841664
0.086000003	0.071657042
0.086099997	0.071721377
0.086199999	0.071485269
0.086300001	0.071427936
0.086400002	0.071740945
0.086499997	0.072275989
0.086599998	0.072692542
0.0867	0.072620872
0.086800002	0.071928807
0.086900003	0.070841568
0.086999998	0.069902245
0.087099999	0.06961103
0.087200001	0.070098061
0.087300003	0.070971591
0.087399997	0.071509463
0.087499999	0.071172492
0.0876	0.069933231
0.087700002	0.06829215
0.087800004	0.066996234
0.087899998	0.066617788
0.088	0.06734394
0.088100001	0.068916648
0.088200003	0.07064843
0.088299997	0.07183333
0.088399999	0.072241206
0.088500001	0.072052811
0.088600002	0.071602822
0.088699997	0.071023844
0.088799998	0.070327494
0.0889	0.069722068
0.089000002	0.069380736
0.089100003	0.069080084
0.089199998	0.068456683
0.089299999	0.067499136
0.089400001	0.066685533
0.089500003	0.066546928
0.089599997	0.067135905
0.089699999	0.067936072
0.0898	0.068337505
0.089900002	0.06820053
0.090000004	0.067952243
0.090099998	0.068138448
0.0902	0.068914062
0.090300001	0.070006431
0.090400003	0.071017383
0.090499997	0.07170969
0.090599999	0.071985885
0.090700001	0.071886033
0.090800002	0.071502574
0.090899997	0.070957332
0.090999998	0.070357843
0.0911	0.069861024
0.091200002	0.069770842
0.091300003	0.070264279
0.091399998	0.07122734
0.091499999	0.072112435
0.091600001	0.072230552
0.091700003	0.071298587
0.091799997	0.06973243
0.091899999	0.068451161
0.092	0.068226922
0.092100002	0.069042195
0.092200004	0.070108386
0.092299998	0.070685708
0.0924	0.070711991
0.092500001	0.070613364
0.092600003	0.070701834
0.092699997	0.070998867
0.092799999	0.071387739
0.092900001	0.071756424
0.093000002	0.072136992
0.093099996	0.072530044
0.093199998	0.072771679
0.0933	0.072774957
0.093400002	0.072738216
0.093500003	0.072906683
0.093599998	0.07321961
0.093699999	0.073264227
0.093800001	0.072715803
0.093900003	0.071599581
0.093999997	0.070250097
0.094099999	0.069013148
0.0942	0.068182519
0.094300002	0.067851786
0.094400004	0.067975526
0.094499998	0.068349907
0.0946	0.06883279
0.094700001	0.069448623
0.094800003	0.070201291
0.094899997	0.070797092
0.094999999	0.070870833
0.095100001	0.070365537
0.095200002	0.069670535
0.095299996	0.069347906
0.095399998	0.069599648
0.0955	0.070137661
0.095600002	0.070407978
0.095700003	0.070071363
0.095799997	0.069209228
0.095899999	0.068292013
0.096000001	0.067833975
0.096100003	0.068127995
0.096199997	0.069227412
0.096299999	0.070778048
0.0964	0.072031213
0.096500002	0.072370888
0.096600004	0.071730678
0.096699998	0.07061025
0.0968	0.069609391
0.096900001	0.069151508
0.097000003	0.069331912
0.097099997	0.070142769
0.097199999	0.071549063
0.097300001	0.073165732
0.097400002	0.074235129
0.097499996	0.07421267
0.097599998	0.073310201
0.0977	0.072253849
0.097800002	0.071457288
0.097900003	0.070714017
0.097999997	0.069759388
0.098099999	0.068870664
0.098200001	0.068595544
0.098300003	0.068981862
0.098399997	0.069428736
0.098499999	0.069294079
0.0986	0.068705334
0.098700002	0.068389908
0.098800004	0.068874689
0.098899998	0.069950814
0.099	0.070973162
0.099100001	0.071605654
0.099200003	0.071954553
0.099299997	0.072191935
0.099399999	0.072320078
0.099500001	0.072247316
0.099600002	0.07188637
0.099699996	0.07110981
0.099799998	0.069759005
0.0999	0.067911263
0.100000001	0.066167007
0.100100003	0.065390428
0.100199997	0.066045142
0.100299999	0.067833798
0.100400001	0.069920069
0.100500003	0.071485729
0.100599997	0.07211498
0.100699998	0.071800514
0.1008	0.070745755
0.100900002	0.069328584
0.101000004	0.067996105
0.101099998	0.067153201
0.101199999	0.066916751
0.101300001	0.067176889
0.101400003	0.067813105
0.101499997	0.068767371
0.101599999	0.069865012
0.1017	0.070721192
0.101800002	0.070984936
0.101899996	0.070777583
0.101999998	0.070643362
0.1021	0.070919225
0.102200001	0.071272144
0.102300003	0.071055832
0.102399997	0.07004136
0.102499999	0.068679848
0.102600001	0.067728027
0.102700002	0.06761596
0.102799997	0.068161658
0.102899998	0.068854493
0.103	0.06928694
0.103100002	0.069399234
0.103200004	0.069374121
0.103249997	0.069392797
0.103299998	0.069215211
0.103399999	0.06970978
0.103500001	0.070435468
0.103600003	0.0711883
0.103699997	0.071703503
0.103799999	0.071568676
0.1039	0.070577069
0.104000002	0.069157759
0.104099996	0.068135589
0.104199998	0.068145259
0.1043	0.069150734
0.104400001	0.070471135
0.104500003	0.071189802
0.104599997	0.070827436
0.104699999	0.069602844
0.104800001	0.068090534
0.104900002	0.066797059
0.104999997	0.066183889
0.105099998	0.066556261
0.1052	0.067827091
0.105300002	0.069429469
0.105400003	0.070725099
0.105499998	0.071462378
0.105599999	0.071723449
0.105700001	0.071596767
0.105800003	0.070946428
0.105899997	0.069801801
0.105999999	0.068543059
0.1061	0.067816875
0.106200002	0.067915252
0.106299996	0.068533029
0.106399998	0.069145744
0.1065	0.069338423
0.106600001	0.068926131
0.106700003	0.068053966
0.106799997	0.067218501
0.106899999	0.066899323
0.107000001	0.067069816
0.107100002	0.067167574
0.107199997	0.066724259
0.107299998	0.06606013
0.1074	0.066013591
0.107500002	0.067043305
0.107600003	0.068703126
0.107699998	0.070093763
0.107799999	0.070697818
0.107900001	0.070721456
0.108000003	0.070585856
0.108099997	0.070606899
0.108199999	0.070972789
0.1083	0.071592351
0.108400002	0.07197983
0.108499996	0.071620565
0.108599998	0.070475569
0.1087	0.069059578
0.108800001	0.067926606
0.108900003	0.067378018
0.108999997	0.067604369
0.109099999	0.068601826
0.109200001	0.069786495
0.109300002	0.07010733
0.109399997	0.068952369
0.109499998	0.066921395
0.1096	0.065227438
0.109700002	0.06459684
0.109800003	0.064829014
0.109899998	0.065464606
0.109999999	0.06648349
0.110100001	0.06801168
0.110200003	0.069735144
0.110299997	0.071052859
0.110399999	0.071647631
0.1105	0.07181602
0.110600002	0.071986582
0.110699996	0.072344286
0.110799998	0.072750345
0.1109	0.07301407
0.111000001	0.072958125
0.111100003	0.072360361
0.111199997	0.071216882
0.111299999	0.069996552
0.111400001	0.069356739
0.111500002	0.069468082
0.111599997	0.069897774
0.111699998	0.07010927
0.1118	0.07001225
0.111900002	0.069770965
0.112000003	0.069395583
0.112099998	0.068841704
0.112199999	0.068313958
0.112300001	0.068301274
0.112400003	0.069109267
0.112499997	0.070610136
0.112599999	0.072391361
0.1127	0.074001525
0.112800002	0.074937174
0.112899996	0.074763316
0.112999998	0.073461222
0.1131	0.071598215
0.113200001	0.069797431
0.113300003	0.068278911
0.113399997	0.066978997
0.113499999	0.065823854
0.113600001	0.064866046
0.113700002	0.064177505
0.113799997	0.06375124
0.113899998	0.063714937
0.114	0.064349978
0.114100002	0.06587408
0.114200003	0.068101229
0.114299998	0.070386407
0.114399999	0.0720459
0.114500001	0.072847442
0.114600003	0.073081633
0.114699997	0.073173536
0.114799999	0.073120122
0.1149	0.072683637
0.115000002	0.071871373
0.115099996	0.071046972
0.115199998	0.070602619
0.1153	0.0706806
0.115400001	0.071141278
0.115500003	0.071692312
0.115599997	0.071963098
0.115699999	0.071684226
0.115800001	0.070923546
0.115900002	0.070076549
0.115999997	0.069505815
0.116099998	0.06915663
0.1162	0.068619988
0.116300002	0.067836921
0.116400003	0.067228718
0.116499998	0.067171234
0.116599999	0.067491232
0.116700001	0.067733914
0.116800003	0.067852223
0.116899997	0.068215554
0.116999999	0.068939621
0.1171	0.069553683
0.117200002	0.069613343
0.117299996	0.069375159
0.117399998	0.069375082
0.1175	0.069708387
0.117600001	0.069937602
0.117700003	0.069606423
0.117799997	0.068669991
0.117899999	0.067687375
