t	u	v	z						
1.57E-02	0.06909111	1.75E-01	2.63E-01						
1.58E-02	0.070921319	2.07E-01	8.52E-02						
1.59E-02	0.072225712	2.19E-01	-4.39E-02						
1.60E-02	0.072718296	2.09E-01	-1.01E-01						
1.61E-02	0.07266604	1.75E-01	-1.10E-01						
1.62E-02	0.072433102	1.16E-01	-8.39E-02						
1.63E-02	0.072131346	4.10E-02	1.88E-04						
1.64E-02	0.071685471	-2.67E-02	1.35E-01						
1.65E-02	0.07114106	-6.99E-02	2.63E-01						
1.66E-02	0.070635522	-8.58E-02	3.35E-01						
1.67E-02	0.070096327	-7.82E-02	3.49E-01						
1.68E-02	0.069331193	-5.33E-02	3.17E-01						
1.69E-02	0.068367724	-1.89E-02	2.48E-01						
1.70E-02	0.067706631	1.65E-02	1.43E-01						
1.71E-02	0.067868846	4.16E-02	1.29E-02						
1.72E-02	0.068795394	4.38E-02	-1.02E-01						
1.73E-02	0.069845102	2.00E-02	-1.28E-01						
1.74E-02	0.070357141	-1.95E-02	-3.26E-02						
1.75E-02	0.070239898	-5.48E-02	1.08E-01						
1.76E-02	0.069889775	-6.85E-02	1.60E-01						
1.77E-02	0.069669241	-4.99E-02	8.32E-02						
1.78E-02	0.06962585	-5.74E-04	-2.80E-02						
1.79E-02	0.06966897	7.52E-02	-5.12E-02						
1.80E-02	0.069776452	1.64E-01	4.77E-02						
1.81E-02	0.069929073	2.38E-01	1.98E-01						
1.82E-02	0.070004786	2.74E-01	3.05E-01						
1.83E-02	0.069819377	2.59E-01	3.20E-01						
1.84E-02	0.069352526	1.93E-01	2.71E-01						
1.85E-02	0.068882212	9.06E-02	2.07E-01						
1.86E-02	0.068789195	-3.04E-02	9.54E-02						
1.87E-02	0.069264001	-1.34E-01	-1.13E-01						
1.88E-02	0.070262427	-1.76E-01	-3.57E-01						
1.89E-02	0.07145016	-1.39E-01	-4.75E-01						
1.90E-02	0.072358652	-3.86E-02	-3.94E-01						
1.91E-02	0.072569021	8.91E-02	-1.77E-01						
1.92E-02	0.0718955	1.97E-01	5.37E-02						
1.93E-02	0.070599289	2.49E-01	1.79E-01						
1.94E-02	0.069309932	2.47E-01	1.72E-01						
1.95E-02	0.06859939	2.20E-01	7.94E-02						
1.96E-02	0.068548266	1.99E-01	-2.56E-02						
1.97E-02	0.068879442	1.98E-01	-1.03E-01						
1.98E-02	0.069319363	2.16E-01	-1.28E-01						
1.99E-02	0.069831302	2.35E-01	-6.90E-02						
2.00E-02	0.070433796	2.37E-01	7.05E-02						
2.01E-02	0.070850242	2.11E-01	1.99E-01						
2.02E-02	0.070590121	1.55E-01	2.54E-01						
2.03E-02	0.069454635	8.03E-02	2.58E-01						
2.04E-02	0.067792531	6.25E-03	2.42E-01						
2.05E-02	0.066214901	-4.79E-02	1.87E-01						
2.06E-02	0.065211716	-7.26E-02	8.55E-02						
2.07E-02	0.065089384	-7.23E-02	3.52E-03						
2.08E-02	0.066059436	-5.83E-02	2.72E-02						
2.09E-02	0.0680314	-4.36E-02	1.68E-01						
2.10E-02	0.070336587	-3.49E-02	3.53E-01						
2.11E-02	0.071977312	-2.56E-02	4.50E-01						
2.12E-02	0.072383612	-9.01E-03	3.82E-01						
2.13E-02	0.071814775	2.10E-02	1.83E-01						
2.14E-02	0.070924126	7.07E-02	-5.81E-02						
