t	u	v	z						
2.22E-02	0.065971318	-1.15E-01	-1.92E-01						
2.23E-02	0.065228234	-9.80E-02	-2.63E-01						
2.24E-02	0.064744308	-2.90E-02	-2.89E-01						
2.25E-02	0.064716002	4.21E-02	-2.66E-01						
2.26E-02	0.06512622	7.22E-02	-2.08E-01						
2.27E-02	0.065858272	6.43E-02	-1.47E-01						
2.28E-02	0.066851316	4.31E-02	-1.08E-01						
2.29E-02	0.067906376	2.76E-02	-1.03E-01						
2.30E-02	0.068624524	2.73E-02	-1.29E-01						
2.31E-02	0.068619265	2.52E-02	-1.73E-01						
2.32E-02	0.067864494	5.81E-03	-2.06E-01						
2.33E-02	0.066710288	-3.78E-02	-2.02E-01						
2.34E-02	0.065547778	-9.29E-02	-1.68E-01						
2.35E-02	0.064642257	-1.33E-01	-1.62E-01						
2.36E-02	0.064216897	-1.32E-01	-2.46E-01						
2.37E-02	0.064536598	-8.02E-02	-3.98E-01						
2.38E-02	0.065747316	1.30E-02	-5.07E-01						
2.39E-02	0.067557038	1.29E-01	-4.65E-01						
2.40E-02	0.069188365	2.39E-01	-2.36E-01						
2.41E-02	0.069813432	3.10E-01	1.25E-01						
2.42E-02	0.069233532	3.18E-01	4.95E-01						
2.43E-02	0.06802667	2.56E-01	7.27E-01						
2.44E-02	0.066918354	1.66E-01	6.94E-01						
2.45E-02	0.066420102	1.00E-01	3.92E-01						
2.46E-02	0.066700633	8.57E-02	-3.27E-02						
2.47E-02	0.067607274	1.10E-01	-3.60E-01						
2.48E-02	0.068727632	1.43E-01	-4.62E-01						
2.49E-02	0.069525446	1.57E-01	-3.87E-01						
2.50E-02	0.069697463	1.44E-01	-2.45E-01						
2.51E-02	0.069444905	1.18E-01	-9.50E-02						
2.52E-02	0.069220219	8.06E-02	5.49E-02						
2.53E-02	0.069199908	3.07E-02	2.01E-01						
2.54E-02	0.069128625	-2.71E-02	3.06E-01						
2.55E-02	0.06868425	-7.81E-02	2.97E-01						
2.56E-02	0.067904366	-1.01E-01	1.37E-01						
2.57E-02	0.067125799	-9.26E-02	-1.05E-01						
2.58E-02	0.066569611	-6.52E-02	-2.64E-01						
2.59E-02	0.066113879	-3.16E-02	-2.05E-01						
2.60E-02	0.065543466	2.19E-03	3.54E-02						
2.61E-02	0.064956906	3.35E-02	2.87E-01						
2.62E-02	0.064680548	5.86E-02	3.84E-01						
2.63E-02	0.064836456	6.95E-02	2.70E-01						
2.64E-02	0.06522858	6.78E-02	-1.22E-02						
2.65E-02	0.065678678	8.00E-02	-3.50E-01						
2.66E-02	0.066268372	1.22E-01	-6.04E-01						
2.67E-02	0.067139568	1.68E-01	-7.19E-01						
2.68E-02	0.068119502	1.82E-01	-7.57E-01						
2.69E-02	0.068759879	1.44E-01	-7.71E-01						
2.70E-02	0.068748598	6.61E-02	-7.62E-01						
2.71E-02	0.068245552	-2.48E-02	-7.02E-01						
2.72E-02	0.067694919	-1.01E-01	-5.50E-01						
2.73E-02	0.067333978	-1.50E-01	-2.73E-01						
2.74E-02	0.06708779	-1.71E-01	1.01E-01						
2.75E-02	0.066870909	-1.73E-01	4.11E-01						
2.76E-02	0.066706081	-1.59E-01	4.87E-01						
2.77E-02	0.066581615	-1.37E-01	3.46E-01						
2.78E-02	0.0663193	-1.08E-01	1.14E-01						
2.79E-02	0.065788484	-8.02E-02	-1.04E-01						
2.80E-02	0.065213937	-5.57E-02	-2.66E-01						
2.81E-02	0.065020371	-3.65E-02	-3.40E-01						
2.82E-02	0.065421989	-2.31E-02	-3.17E-01						
2.83E-02	0.066213029	-2.03E-02	-2.00E-01						
2.84E-02	0.067107717	-3.11E-02	-3.18E-02						
2.85E-02	0.068030737	-6.45E-02	1.16E-01						
2.86E-02	0.069016048	-1.17E-01	1.86E-01						
2.87E-02	0.069906985	-1.75E-01	1.66E-01						
2.88E-02	0.070366625	-2.29E-01	1.04E-01						
2.89E-02	0.070240054	-2.70E-01	7.60E-02						
2.90E-02	0.069717808	-2.90E-01	1.15E-01						
2.91E-02	0.069155048	-2.80E-01	1.96E-01						
2.92E-02	0.068733583	-2.35E-01	2.60E-01						
2.93E-02	0.06836482	-1.58E-01	2.68E-01						
2.94E-02	0.067859878	-6.97E-02	2.32E-01						
2.95E-02	0.067157172	5.99E-03	1.94E-01						
2.96E-02	0.066389848	5.55E-02	1.64E-01						
2.97E-02	0.065780658	8.06E-02	1.09E-01						
2.98E-02	0.065533756	9.20E-02	-4.89E-03						
2.99E-02	0.065827376	1.05E-01	-1.56E-01						
3.00E-02	0.066660082	1.35E-01	-2.41E-01						
3.01E-02	0.067705495	1.88E-01	-1.73E-01						
3.02E-02	0.068462918	2.53E-01	3.07E-02						
3.03E-02	0.068673683	2.96E-01	2.59E-01						
3.04E-02	0.068532081	2.82E-01	3.66E-01						
3.05E-02	0.068472472	1.92E-01	2.75E-01						
3.06E-02	0.068665202	2.43E-02	1.41E-02						
3.07E-02	0.06884812	-1.83E-01	-2.91E-01						
3.08E-02	0.068703105	-3.57E-01	-4.86E-01						
3.09E-02	0.068229997	-4.25E-01	-5.00E-01						
3.10E-02	0.067723196	-3.66E-01	-3.86E-01						
3.11E-02	0.06742025	-2.27E-01	-2.70E-01						
3.12E-02	0.067375252	-7.77E-02	-2.23E-01						
3.13E-02	0.067523493	2.09E-02	-2.35E-01						
3.14E-02	0.067903964	4.01E-02	-2.36E-01						
3.15E-02	0.068623662	-3.06E-04	-1.88E-01						
3.16E-02	0.069678482	-5.65E-02	-7.50E-02						
3.17E-02	0.070726011	-8.72E-02	1.01E-01						
3.18E-02	0.071232072	-8.60E-02	3.10E-01						
3.19E-02	0.070869362	-7.91E-02	4.87E-01						
3.20E-02	0.06969016	-8.33E-02	5.52E-01						
3.21E-02	0.068037314	-9.56E-02	4.33E-01						
3.22E-02	0.066399343	-1.09E-01	8.65E-02						
3.23E-02	0.065143849	-1.31E-01	-4.06E-01						
3.24E-02	0.064374557	-1.79E-01	-8.19E-01						
3.25E-02	0.064041007	-2.48E-01	-9.64E-01						
3.26E-02	0.064156397	-3.07E-01	-8.80E-01						
3.27E-02	0.064904892	-3.23E-01	-7.20E-01						
3.28E-02	0.066364003	-2.68E-01	-5.71E-01						
3.29E-02	0.068152349	-1.60E-01	-4.41E-01						
3.30E-02	0.069404366	-5.04E-02	-2.98E-01						
3.31E-02	0.06937176	2.11E-02	-1.17E-01						
3.32E-02	0.068134534	6.56E-02	8.86E-02						
3.33E-02	0.066628155	1.18E-01	2.60E-01						
3.34E-02	0.065885899	1.80E-01	3.33E-01						
3.35E-02	0.066259092	2.30E-01	2.90E-01						
3.36E-02	0.067338557	2.40E-01	1.87E-01						
3.37E-02	0.068428589	1.89E-01	1.02E-01						
3.38E-02	0.069076121	8.80E-02	7.39E-02						
3.39E-02	0.06928224	-2.83E-02	7.67E-02						
3.40E-02	0.069215502	-1.18E-01	9.94E-02						
3.41E-02	0.068964224	-1.46E-01	1.53E-01						
3.42E-02	0.068568649	-1.06E-01	2.16E-01						
3.43E-02	0.068145562	-7.01E-03	2.06E-01						
3.44E-02	0.067873073	1.24E-01	6.16E-02						
3.45E-02	0.067785111	2.52E-01	-1.53E-01						
3.46E-02	0.067741489	3.37E-01	-2.85E-01						
3.47E-02	0.067563728	3.50E-01	-2.45E-01						
3.48E-02	0.067211066	2.95E-01	-1.07E-01						
3.49E-02	0.066714938	1.97E-01	-9.84E-03						
3.50E-02	0.066153475	9.51E-02	-1.06E-02						
3.51E-02	0.06556398	2.32E-02	-1.03E-01						
3.52E-02	0.065007337	1.56E-03	-2.52E-01						
3.53E-02	0.06456558	3.41E-02	-3.55E-01						
3.54E-02	0.064303794	9.06E-02	-2.92E-01						
3.55E-02	0.06430945	1.32E-01	-5.86E-02						
3.56E-02	0.064619833	1.37E-01	2.42E-01						
3.57E-02	0.065149627	1.10E-01	4.91E-01						
3.58E-02	0.065717143	6.93E-02	6.13E-01						
3.59E-02	0.06617078	3.75E-02	6.06E-01						
3.60E-02	0.066515911	2.64E-02	5.07E-01						
3.61E-02	0.066913623	2.49E-02	3.70E-01						
3.62E-02	0.067557283	1.50E-02	2.48E-01						
3.63E-02	0.068491137	-2.12E-02	1.67E-01						
3.64E-02	0.069422731	-8.73E-02	1.14E-01						
3.65E-02	0.069913925	-1.61E-01	1.88E-02						
3.66E-02	0.069721432	-2.11E-01	-1.45E-01						
3.67E-02	0.068962703	-2.16E-01	-3.03E-01						
3.68E-02	0.067996585	-1.86E-01	-3.95E-01						
3.69E-02	0.067160644	-1.45E-01	-4.17E-01						
3.70E-02	0.066565218	-1.15E-01	-3.94E-01						
3.71E-02	0.066145324	-1.03E-01	-3.61E-01						
3.72E-02	0.065837466	-1.03E-01	-3.52E-01						
3.73E-02	0.065686703	-1.07E-01	-3.70E-01						
3.74E-02	0.065801388	-1.04E-01	-3.88E-01						
3.75E-02	0.066238506	-7.92E-02	-3.81E-01						
3.76E-02	0.066848355	-2.53E-02	-3.36E-01						
3.77E-02	0.067347169	5.01E-02	-2.54E-01						
3.78E-02	0.067536363	1.28E-01	-1.83E-01						
3.79E-02	0.067395994	1.85E-01	-1.71E-01						
3.80E-02	0.067108566	1.87E-01	-2.28E-01						
3.81E-02	0.066870677	1.09E-01	-3.22E-01						
3.82E-02	0.066759946	-4.80E-02	-3.85E-01						
3.83E-02	0.066707703	-2.39E-01	-3.06E-01						
3.84E-02	0.066563339	-3.93E-01	-3.08E-02						
3.85E-02	0.066195974	-4.47E-01	3.00E-01						
3.86E-02	0.065612573	-3.85E-01	4.47E-01						
3.87E-02	0.065027348	-2.35E-01	3.59E-01						
3.88E-02	0.064705016	-5.00E-02	2.06E-01						
3.89E-02	0.064802384	1.15E-01	1.63E-01						
3.90E-02	0.065356071	2.11E-01	2.15E-01						
3.91E-02	0.066277651	2.37E-01	2.32E-01						
3.92E-02	0.067309903	2.35E-01	1.53E-01						
3.93E-02	0.068055665	2.49E-01	1.11E-02						
3.94E-02	0.068162904	2.98E-01	-1.28E-01						
3.95E-02	0.067577332	3.63E-01	-2.20E-01						
3.96E-02	0.066656251	4.09E-01	-2.48E-01						
3.97E-02	0.066000545	4.00E-01	-2.16E-01						
3.98E-02	0.066033068	3.29E-01	-1.75E-01						
3.99E-02	0.066734257	2.13E-01	-1.90E-01						
4.00E-02	0.067757606	8.17E-02	-2.90E-01						
4.01E-02	0.068734157	-3.19E-02	-4.33E-01						
4.02E-02	0.06943789	-1.09E-01	-5.24E-01						
4.03E-02	0.069745921	-1.55E-01	-4.92E-01						
4.04E-02	0.069575821	-1.82E-01	-3.21E-01						
4.05E-02	0.068957027	-2.04E-01	-6.33E-02						
4.06E-02	0.068162427	-2.22E-01	1.70E-01						
4.07E-02	0.067542094	-2.20E-01	2.83E-01						
4.08E-02	0.06721221	-1.85E-01	2.76E-01						
4.09E-02	0.066913382	-1.20E-01	2.28E-01						
