[Name]
Series 1 at /POINT:Point 1

[Data]
Time [ s ],Velocity v [ m s^-1 ]	
0.045299999	0.071520361
0.045400001	0.071968383
0.045499999	0.072633647
0.045600001	0.073360527
0.045699999	0.073724008
0.0458	0.073391707
0.045899998	0.07250519
0.046	0.071550761
0.046100002	0.070911859
0.0462	0.070544927
0.046300001	0.070440914
0.046399999	0.070824806
0.046500001	0.071857489
0.046599999	0.073135228
0.046700001	0.073826728
0.046799999	0.073438581
0.0469	0.072265158
0.046999998	0.07106755
0.0471	0.07026477
0.047200002	0.069732082
0.0473	0.069171257
0.047400001	0.068484991
0.047499999	0.067894569
0.047600001	0.067750708
0.047699999	0.068315266
0.047800001	0.069563749
0.047899999	0.071089477
0.048	0.072257452
0.048099998	0.072605116
0.0482	0.072157793
0.048300002	0.071375557
0.0484	0.070660062
0.048500001	0.070083978
0.048599999	0.069543165
0.048700001	0.069070759
0.048799999	0.068885376
0.048900001	0.06911375
0.048999999	0.069636678
0.0491	0.070237686
0.049199998	0.070813004
0.0493	0.071314041
0.049400002	0.071501927
0.0495	0.071096594
0.049600001	0.070243638
0.049699999	0.06955114
0.049800001	0.069494014
0.049899999	0.070052576
0.050000001	0.070772589
0.050099999	0.071185184
0.0502	0.071104799
0.050299998	0.070673751
0.0504	0.070131201
0.050500002	0.069757878
0.0506	0.069736541
0.050700001	0.070001474
0.050799999	0.070298695
0.050900001	0.070411739
0.050999999	0.070388197
0.051100001	0.070384224
0.051199999	0.070437602
0.0513	0.070425718
0.051399998	0.070246559
0.0515	0.069935332
0.051600002	0.06960294
0.0517	0.069351659
0.051800001	0.069269015
0.051899999	0.069447603
0.052000001	0.069950527
0.052099999	0.070653902
0.052200001	0.071142003
0.052299999	0.071027825
0.0524	0.070366742
0.052499998	0.069534438
0.0526	0.068904205
0.052700002	0.068498767
0.0528	0.068154568
0.052900001	0.067831783
0.052999999	0.067690734
0.053100001	0.067843295
0.053199999	0.068108955
0.053300001	0.068150504
0.053399999	0.067817686
0.0535	0.067264812
0.053599998	0.066762568
0.0537	0.066475654
0.053800002	0.066527644
0.0539	0.067080473
0.054000001	0.068211162
0.054099999	0.069767875
0.054200001	0.071406446
0.054299999	0.07270541
0.054400001	0.073337988
0.054499999	0.0732202
0.0546	0.072589032
0.054699998	0.071765695
0.0548	0.07091523
0.054900002	0.07011783
0.055	0.069474787
0.055100001	0.06910716
0.055199999	0.069120895
0.055300001	0.069575216
0.055399999	0.070399891
0.055500001	0.071389845
0.055599999	0.072209203
0.0557	0.072492335
0.055799998	0.072049439
0.0559	0.071025529
0.056000002	0.069772293
0.0561	0.068720432
0.056200001	0.068242061
0.056299999	0.068486579
0.056400001	0.069337512
0.056499999	0.070346013
0.056600001	0.071001997
0.056699999	0.071089831
0.0568	0.070725061
0.056899998	0.070167153
0.057	0.069609657
0.057100002	0.069204169
0.0572	0.06902369
0.057300001	0.069046487
0.057399999	0.069191591
0.057500001	0.069460802
0.057599999	0.069951824
0.057700001	0.070736197
0.057799999	0.07157086
0.0579	0.07192814
0.057999998	0.071472226
0.0581	0.070409026
0.058200002	0.069366859
0.0583	0.068858977
0.058400001	0.069036658
0.058499999	0.069708146
0.058600001	0.070577177
0.058699999	0.071391768
0.058800001	0.071858586
0.058899999	0.0717226
0.059	0.071059263
0.059099998	0.070286339
0.0592	0.069839052
0.059300002	0.069720375
0.0594	0.069537849
0.059500001	0.06899681
0.059599999	0.068274815
0.059700001	0.067894483
0.059799999	0.068222561
0.059900001	0.069196631
0.059999999	0.070521916
0.0601	0.071970642
0.060199998	0.073380821
0.0603	0.074545757
0.060400002	0.075180522
0.0605	0.075111481
0.060600001	0.074311482
0.060699999	0.072868181
0.060800001	0.07106086
